"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 05 23:26:52 IST 2024","Fri Jul 05 23:26:57 IST 2024","5311","Chrome","E2EPlaceOrder.spec.js","","","","@Web TC002_Locked_Out_User Login",""
"passed","Fri Jul 05 23:26:47 IST 2024","Fri Jul 05 23:26:51 IST 2024","4137","Chrome","E2EPlaceOrder.spec.js","","","","@Web TC001_EcommApp_PlaceOrder",""
